Date,Open,High,Low,Close,Volume
2015-02-02,532.9,546.5,526.15,540.5,1424285
2015-02-03,539.25,541.1,528.0,528.85,2546726
2015-02-04,530.05,540.4,528.65,530.8,1545307
2015-02-05,537.0,546.25,535.25,537.7,2008656
2015-02-06,537.45,537.5,525.05,525.15,1724119
2015-02-09,522.9,522.9,517.35,518.5,1305758
2015-02-10,516.0,531.1,516.0,527.35,2316432
2015-02-11,529.5,532.4,526.6,528.35,1039783
2015-02-12,532.2,540.95,526.4,537.2,1379623
2015-02-13,540.6,540.65,531.85,532.75,1925460
2015-02-16,539.9,541.5,531.25,531.85,1840674
2015-02-18,533.5,541.45,529.25,538.0,1331924
2015-02-19,537.45,542.45,531.95,541.0,1124084
2015-02-20,541.0,544.95,534.25,535.4,1549238
2015-02-23,538.65,540.75,531.0,531.55,1391868
2015-02-24,535.4,535.4,528.55,534.0,1454150
2015-02-25,535.4,537.4,525.0,525.5,1160594
2015-02-26,527.95,527.95,517.6,519.8,3104128
2015-02-27,524.95,529.25,524.75,527.2,2563915
2015-02-28,531.45,538.3,522.05,537.8,2893676
2015-03-02,537.75,549.0,534.0,540.5,3591875
2015-03-03,540.35,546.0,538.6,540.6,1504967
2015-03-04,550.55,552.5,530.0,533.6,3059321
2015-03-05,531.7,545.0,531.25,545.0,2422068
2015-03-09,538.7,538.9,528.0,528.65,1436963
2015-03-10,529.25,529.7,522.5,525.95,1282302
2015-03-11,525.45,530.85,525.0,527.95,1364893
2015-03-12,530.05,531.8,525.55,527.0,1881360
2015-03-13,528.1,529.7,517.3,522.7,1355803
2015-03-16,523.7,528.9,521.5,526.95,1234062
2015-03-17,530.4,532.95,522.25,528.25,1340369
2015-03-18,530.05,535.95,526.6,532.4,1284290
2015-03-19,535.5,536.8,524.35,525.6,1342478
2015-03-20,525.5,529.5,523.1,528.05,1615078
2015-03-23,527.3,529.7,523.0,524.35,1360384
2015-03-24,521.85,528.5,517.7,518.95,2240140
2015-03-25,520.8,523.25,515.55,516.3,2651386
2015-03-26,513.35,516.1,501.1,508.95,8945388
2015-03-27,508.5,511.75,504.1,507.95,2707325
2015-03-30,511.0,519.5,506.65,519.25,1736446
2015-03-31,519.85,519.85,507.75,510.5,1486734
2015-04-01,513.05,518.3,506.75,516.95,956360
2015-04-06,518.4,518.4,509.9,515.05,1780684
2015-04-07,517.5,519.1,511.8,518.6,1549106
2015-04-08,521.2,521.2,515.0,518.0,1024949
2015-04-09,520.0,529.5,515.0,527.45,1748767
2015-04-10,526.5,526.5,517.4,520.6,1528472
2015-04-13,517.5,523.15,517.5,519.7,1138645
2015-04-15,520.0,524.35,512.6,513.0,1221531
2015-04-16,514.0,516.75,509.65,513.3,1401738
2015-04-17,513.5,513.9,508.05,509.45,1011550
2015-04-20,510.45,512.5,501.3,504.3,1283983
2015-04-21,502.5,507.2,497.9,503.0,1625545
2015-04-22,505.0,507.75,496.75,506.15,1687853
2015-04-23,510.4,512.1,503.05,505.9,2402257
2015-04-24,508.0,509.2,500.3,504.5,1792051
2015-04-27,504.6,506.25,498.0,500.85,1839120
2015-04-28,499.75,505.7,495.05,500.75,1982391
2015-04-29,502.0,504.75,494.0,495.85,1962792
2015-04-30,496.1,497.5,489.5,496.0,3782028
2015-05-04,497.4,504.65,496.0,500.55,784055
2015-05-05,497.6,500.85,492.95,493.45,1274646
2015-05-06,493.7,493.7,482.75,483.75,2750028
2015-05-07,483.5,485.0,472.1,475.0,2932011
2015-05-08,480.75,493.9,477.7,489.15,2892030
2015-05-11,493.4,496.1,487.0,495.05,1678222
2015-05-12,494.95,494.95,483.5,486.0,2775759
2015-05-13,487.95,496.6,485.8,495.35,1946116
2015-05-14,494.3,497.25,487.0,496.25,1111920
2015-05-15,495.5,498.75,492.35,495.45,2035508
